Product Name,Price,Product Link
"Tea Forte Mariposa Tea Bundle with 20 Pyramid Infusers, 2 Café Cups & 2 Tea Trays",$79.99,https://www.costco.com/tea-forte-mariposa-tea-bundle-with-20-pyramid-infusers%2c-2-caf%c3%a9-cups-%2526-2-tea-trays.product.4000259855.html
"Tea Forte Single Steep Herbal Retreat Tea Bundle with Stone Blue Fiore Teapot, Steeping Cup & 30 Single Steeps Loose Leaf Teas",$64.99,https://www.costco.com/tea-forte-single-steep-herbal-retreat-tea-bundle-with-stone-blue-fiore-teapot%2c-steeping-cup-%2526-30-single-steeps-loose-leaf-teas.product.4000260104.html
"Tea Forté Single Steeps Tea Tasting & World of Tea, 2-pack",$27.99,https://www.costco.com/tea-fort%c3%a9-single-steeps-tea-tasting-%2526-world-of-tea%2c-2-pack.product.4000269015.html
"5-hour Energy Shot, Extra Strength, Berry, 1.93 fl. oz, 24-count",$49.99,/all-costco-grocery.html
"Ocean Spray, Cranberry Juice Blends Variety Pack, 15.2 fl oz, 15-Count",$18.49,/all-costco-grocery.html
"Yoo-hoo Chocolate Drink, 6.5 fl oz, 40-count",$11.99,/all-costco-grocery.html
"5-hour Energy Shot, Extra Strength, Grape, 1.93 fl. oz, 24-count",$49.99,/all-costco-grocery.html
"5-hour Energy Shot, Regular Strength, Berry, 1.93 fl. oz, 24 Count",$39.99,/all-costco-grocery.html
"5-hour Energy Shot, Extra Strength, Tropical Burst, 1.93 fl. oz, 24-count",$49.99,/all-costco-grocery.html
Tea Forté  One Kati Cup &  2-pack  Single Steeps Black Tea,$44.99,https://www.costco.com/tea-fort%c3%a9--one-kati-cup-%2526--2-pack--single-steeps-black-tea.product.4000271421.html
"Prince Of Peace Ginseng Root Tea, 80-count",$31.99,https://www.costco.com/prince-of-peace-ginseng-root-tea%2c-80-count.product.100439116.html
"Ready Sports Drink Light, Watermelon Lemonade, 16.9 fl oz, 12-count",$22.99,https://www.costco.com/ready-sports-drink-light%2c-watermelon-lemonade%2c-16.9-fl-oz%2c-12-count.product.4000321063.html
"Ready Sports Drink Light, Strawberry Lemonade, 16.9 fl oz, 12-count",$22.99,https://www.costco.com/ready-sports-drink-light%2c-strawberry-lemonade%2c-16.9-fl-oz%2c-12-count.product.4000321117.html
"5-hour Energy Shot, Watermelon, 1.93 fl. oz, 24-count",$43.99,/all-costco-grocery.html
"Joyburst Hydration Drink, Variety Pack, 16.9 oz, 18-count",$31.99,https://www.costco.com/joyburst-hydration-drink%2c-variety-pack%2c-16.9-oz%2c-18-count.product.4000225361.html
